"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Top Plate, Vehicle Body (m)","Amplitude - Top Plate, Vehicle Body (m)","Time - Middle Plate, VehicleTire (m)","Amplitude - Middle Plate, VehicleTire (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,-2.20E-06,0.006,0,0.006,0
0.008,-1.10E-05,0.008,0,0.008,0
0.01,-4.61E-05,0.01,0,0.01,0
0.012,-0.000131838,0.012,0,0.012,0
0.014,-0.000283452,0.014,-4.87E-06,0.014,-4.87E-06
0.016,-0.00047242,0.016,-1.46E-05,0.016,-1.46E-05
0.018,-0.000687755,0.018,-4.38E-05,0.018,-4.38E-05
0.02,-0.000964615,0.02,-7.31E-05,0.02,-7.31E-05
0.022,-0.00132277,0.022,-9.74E-05,0.022,-9.74E-05
0.024,-0.00171609,0.024,-0.000122076,0.024,-0.000131501
0.026,-0.00218192,0.026,-0.000137003,0.026,-0.000155853
0.028,-0.00263017,0.028,-0.000152562,0.028,-0.000199686
0.03,-0.003096,0.03,-0.000187603,0.03,-0.000263002
0.032,-0.00356842,0.032,-0.000198924,0.032,-0.000321446
0.034,-0.00403424,0.034,-0.000220302,0.034,-0.000399373
0.036,-0.00449128,0.036,-0.0002277,0.036,-0.00048217
0.038,-0.00491536,0.038,-0.000221119,0.038,-0.000569837
0.04,-0.00532845,0.04,-0.000244393,0.04,-0.000706208
0.042,-0.00570419,0.042,-0.000234522,0.042,-0.000837709
0.044,-0.00605576,0.044,-0.000234707,0.044,-0.000988691
0.046,-0.00639414,0.046,-0.00022123,0.046,-0.00115428
0.048,-0.00672374,0.048,-0.000198643,0.048,-0.00132962
0.05,-0.00705114,0.05,-0.000220522,0.05,-0.00156827
0.052,-0.00735217,0.052,-0.000237847,0.052,-0.00181179
0.054,-0.0076488,0.054,-0.000265545,0.054,-0.00208453
0.056,-0.00792127,0.056,-0.00031304,0.056,-0.0023865
0.058,-0.00815638,0.058,-0.000346556,0.058,-0.00269333
0.06,-0.00836732,0.06,-0.00038589,0.06,-0.00303426
0.062,-0.0085431,0.062,-0.000416432,0.062,-0.00339467
0.064,-0.00868593,0.064,-0.000413513,0.064,-0.00374047
0.066,-0.00880019,0.066,-0.000402117,0.066,-0.00411549
0.068,-0.00889028,0.068,-0.000424498,0.068,-0.00451486
0.07,-0.00896279,0.07,-0.000480023,0.07,-0.0049191
0.072,-0.00901992,0.072,-0.000649594,0.072,-0.00535257
0.074,-0.00906606,0.074,-0.000852626,0.074,-0.00580065
0.076,-0.00911001,0.076,-0.00102675,0.076,-0.00622924
0.078,-0.00914956,0.078,-0.00115281,0.078,-0.00662861
0.08,-0.0091935,0.08,-0.00125546,0.08,-0.00703286
0.082,-0.00923745,0.082,-0.00137145,0.082,-0.00741275
0.084,-0.0092814,0.084,-0.00155892,0.084,-0.00781699
0.086,-0.00932754,0.086,-0.00176038,0.086,-0.00821636
0.088,-0.00937148,0.088,-0.00193197,0.088,-0.00856703
0.09,-0.00941543,0.09,-0.00209383,0.09,-0.00890796
0.092,-0.00945718,0.092,-0.00224532,0.092,-0.00921967
0.094,-0.00950113,0.094,-0.00242963,0.094,-0.0095265
0.096,-0.00954068,0.096,-0.00261786,0.096,-0.00980899
0.098,-0.00957583,0.098,-0.00278111,0.098,-0.0100476
0.1,-0.00960879,0.1,-0.00295834,0.1,-0.0102814
0.102,-0.00963956,0.102,-0.0031684,0.102,-0.0105103
0.104,-0.00966812,0.104,-0.00334405,0.104,-0.0106954
0.106,-0.00969449,0.106,-0.0035285,0.106,-0.010861
0.108,-0.00971646,0.108,-0.00373147,0.108,-0.0110168
0.11,-0.00973843,0.11,-0.00392863,0.11,-0.0111386
