Time - Fc (N),Amplitude - Fc (N)
0,0
0.002,0.0125693
0.004,0.0251432
0.006,0.0377196
0.008,0.0502965
0.01,0.062872
0.012,0.075444
0.014,0.0880105
0.016,0.100569
0.018,0.113119
0.02,0.125657
0.022,0.138181
0.024,0.150689
0.026,0.16318
0.028,0.175651
0.03,0.188101
0.032,0.200526
0.034,0.212925
0.036,0.225297
0.038,0.237638
0.04,0.249947
0.042,0.262222
0.044,0.274461
0.046,0.286661
0.048,0.298822
0.05,0.310939
0.052,0.323012
0.054,0.335039
0.056,0.347017
0.058,0.358944
0.06,0.370818
0.062,0.382638
0.064,0.394401
0.066,0.406105
0.068,0.417748
0.07,0.429328
0.072,0.440843
0.074,0.452291
0.076,0.46367
0.078,0.474977
0.08,0.486212
0.082,0.497372
0.084,0.508454
0.086,0.519458
0.088,0.53038
0.09,0.541219
0.092,0.551973
0.094,0.562641
0.096,0.573219
0.098,0.583706
0.1,0.594101
0.102,0.604401
0.104,0.614604
0.106,0.624709
0.108,0.634713
0.11,0.644615
0.112,0.654413
0.114,0.664105
0.116,0.673689
0.118,0.683163
0.12,0.692526
0.122,0.701775
0.124,0.71091
0.126,0.719927
0.128,0.728826
0.13,0.737605
0.132,0.746262
0.134,0.754795
0.136,0.763202
0.138,0.771483
0.14,0.779634
0.142,0.787656
0.144,0.795545
0.146,0.803301
0.148,0.810921
0.15,0.818405
0.152,0.82575
0.154,0.832956
0.156,0.84002
0.158,0.846942
0.16,0.853719
0.162,0.860351
0.164,0.866835
0.166,0.873172
0.168,0.879358
0.17,0.885393
0.172,0.891275
0.174,0.897004
0.176,0.902578
0.178,0.907995
0.18,0.913255
0.182,0.918356
0.184,0.923297
0.186,0.928077
0.188,0.932694
0.19,0.937149
0.192,0.941439
0.194,0.945563
0.196,0.949521
0.198,0.953312
0.2,0.956934
0.202,0.960387
0.204,0.96367
0.206,0.966781
0.208,0.969721
0.21,0.972488
0.212,0.975081
0.214,0.9775
0.216,0.979743
