Time - Fc (N,Amplitude - Fc (N
0,0
0.002,0.0376909
0.004,0.0753298
0.006,0.112863
0.008,0.150237
0.01,0.187399
0.012,0.224296
0.014,0.260875
0.016,0.297083
0.018,0.33287
0.02,0.368184
0.022,0.402974
0.024,0.437191
0.026,0.470786
0.028,0.50371
0.03,0.535917
0.032,0.567359
0.034,0.597993
0.036,0.627773
0.038,0.656657
0.04,0.684604
0.042,0.711572
0.044,0.737523
0.046,0.76242
0.048,0.786227
0.05,0.808908
0.052,0.830432
0.054,0.850767
0.056,0.869883
0.058,0.887752
0.06,0.904349
0.062,0.919649
0.064,0.933629
0.066,0.94627
0.068,0.957552
0.07,0.967459
0.072,0.975977
0.074,0.983091
0.076,0.988793
0.078,0.993072
0.08,0.995922
0.082,0.997339
0.084,0.99732
0.086,0.995865
0.088,0.992975
0.09,0.988654
0.092,0.982908
0.094,0.975743
0.096,0.967171
0.098,0.957203
0.1,0.945853
0.102,0.933137
0.104,0.919073
0.106,0.90368
0.108,0.88698
0.11,0.868998
0.112,0.849758
0.114,0.829288
0.116,0.807617
0.118,0.784776
0.12,0.760798
0.122,0.735718
0.124,0.70957
0.126,0.682392
0.128,0.654225
0.13,0.625107
0.132,0.595081
0.134,0.564191
0.136,0.53248
0.138,0.499995
0.14,0.466783
0.142,0.432891
0.144,0.398368
0.146,0.363265
0.148,0.327632
0.15,0.291521
0.152,0.254985
0.154,0.218076
0.156,0.180848
0.158,0.143355
0.16,0.105652
0.162,0.0677932
0.164,0.0298344
0.166,-0.00816938
0.168,-0.0461626
0.17,-0.0840899
0.172,-0.121896
0.174,-0.159525
0.176,-0.196923
0.178,-0.234034
0.18,-0.270805
0.182,-0.30718
0.184,-0.343108
0.186,-0.378536
0.188,-0.41341
0.19,-0.44768
0.192,-0.481296
0.194,-0.514209
0.196,-0.546368
0.198,-0.577728
0.2,-0.608242
0.202,-0.637865
0.204,-0.666553
0.206,-0.694263
0.208,-0.720956
0.21,-0.74659
0.212,-0.771128
0.214,-0.794534
0.216,-0.816773
0.218,-0.837811
0.22,-0.857617
