"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,2.20E-06,0.006,0,0.006,0
0.008,2.20E-06,0.008,0,0.008,0
0.01,4.39E-06,0.01,0,0.01,0
0.012,1.54E-05,0.012,0,0.012,0
0.014,3.08E-05,0.014,0,0.014,0
0.016,4.83E-05,0.016,0,0.016,0
0.018,7.03E-05,0.018,0,0.018,0
0.02,9.45E-05,0.02,0,0.02,0
0.022,0.000125246,0.022,0,0.022,0
0.024,0.000206546,0.024,4.87E-06,0.024,4.87E-06
0.026,0.00025269,0.026,4.87E-06,0.026,4.87E-06
0.028,0.00030103,0.028,4.87E-06,0.028,4.87E-06
0.03,0.000340582,0.03,4.87E-06,0.03,4.87E-06
0.032,0.000380133,0.032,9.74E-06,0.032,9.74E-06
0.034,0.000417487,0.034,9.74E-06,0.034,9.74E-06
0.036,0.00049659,0.036,1.95E-05,0.036,1.95E-05
0.038,0.000624033,0.038,3.41E-05,0.038,2.47E-05
0.04,0.000663585,0.04,4.38E-05,0.04,2.50E-05
0.042,0.000689952,0.042,5.36E-05,0.042,2.53E-05
0.044,0.000703136,0.044,6.33E-05,0.044,2.56E-05
0.046,0.000714123,0.046,6.82E-05,0.046,2.11E-05
0.048,0.000729504,0.048,8.28E-05,0.048,1.68E-05
0.05,0.000788831,0.05,0.000112019,0.05,1.78E-05
0.052,0.000885512,0.052,0.000160723,0.052,3.82E-05
0.054,0.000942642,0.054,0.000189946,0.054,4.86E-05
0.056,0.000990982,0.056,0.000219168,0.056,5.89E-05
0.058,0.00103273,0.058,0.00024839,0.058,7.87E-05
0.06,0.00106569,0.06,0.000277613,0.06,8.91E-05
0.062,0.00109645,0.062,0.000301965,0.062,9.46E-05
0.064,0.00116017,0.064,0.000355539,0.064,0.000119919
0.066,0.00126564,0.066,0.000457818,0.066,0.000165649
0.068,0.0013052,0.068,0.00048704,0.068,0.000176022
0.07,0.00133376,0.07,0.000516262,0.07,0.000195819
0.072,0.00135134,0.072,0.000550355,0.072,0.000211062
0.074,0.00136892,0.074,0.000574707,0.074,0.000216565
0.076,0.00145901,0.076,0.000662374,0.076,0.000266533
0.078,0.00150076,0.078,0.000691597,0.078,0.000276906
0.08,0.0015425,0.08,0.00072569,0.08,0.000301574
0.082,0.00157986,0.082,0.000764653,0.082,0.000340537
0.084,0.00161502,0.084,0.000803616,0.084,0.000370075
0.086,0.00168533,0.086,0.000876672,0.086,0.000433706
0.088,0.00175564,0.088,0.000949728,0.088,0.000497338
0.09,0.0017886,0.09,0.000988691,0.09,0.000536301
0.092,0.00181058,0.092,0.00103252,0.092,0.000580134
0.094,0.00183035,0.094,0.00107149,0.094,0.000619098
0.096,0.00185013,0.096,0.00110558,0.096,0.00065319
0.098,0.00191165,0.098,0.00117864,0.098,0.000726246
0.1,0.00199075,0.1,0.00125656,0.1,0.000804173
0.102,0.0020347,0.102,0.00129553,0.102,0.000843136
0.104,0.00207425,0.104,0.00133449,0.104,0.000882099
0.106,0.00210501,0.106,0.00137832,0.106,0.000925933
0.108,0.00213358,0.108,0.00141242,0.108,0.000960026
0.11,0.00216434,0.11,0.00145138,0.11,0.000998989
0.112,0.00223465,0.112,0.00152444,0.112,0.00107204
0.114,0.00235551,0.114,0.00165107,0.114,0.00119868
0.116,0.00239506,0.116,0.0016949,0.116,0.00124251
0.118,0.00242142,0.118,0.00173386,0.118,0.00128147
0.12,0.00243021,0.12,0.0017777,0.12,0.00132531
0.122,0.00243681,0.122,0.00181179,0.122,0.0013594
