"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,2.20E-06,0.006,0,0.006,0
0.008,2.20E-06,0.008,0,0.008,0
0.01,4.39E-06,0.01,0,0.01,0
0.012,6.59E-06,0.012,0,0.012,0
0.014,1.10E-05,0.014,0,0.014,0
0.016,1.98E-05,0.016,0,0.016,0
0.018,3.52E-05,0.018,0,0.018,0
0.02,5.93E-05,0.02,0,0.02,0
0.022,9.23E-05,0.022,0,0.022,0
0.024,0.000169192,0.024,4.87E-06,0.024,4.87E-06
0.026,0.000206546,0.026,9.74E-06,0.026,9.74E-06
0.028,0.000239506,0.028,1.46E-05,0.028,1.46E-05
0.03,0.000270268,0.03,1.95E-05,0.03,1.95E-05
0.032,0.000307622,0.032,1.95E-05,0.032,1.95E-05
0.034,0.000351568,0.034,1.95E-05,0.034,1.95E-05
0.036,0.000461433,0.036,1.46E-05,0.036,1.46E-05
0.038,0.000705333,0.038,4.87E-05,0.038,2.99E-05
0.04,0.000758069,0.04,5.36E-05,0.04,2.53E-05
0.042,0.000777844,0.042,6.33E-05,0.042,2.56E-05
0.044,0.000762463,0.044,6.82E-05,0.044,2.11E-05
0.046,0.000755871,0.046,7.31E-05,0.046,7.08E-06
0.048,0.000843763,0.048,0.000107149,0.048,3.48E-06
0.05,0.000889907,0.05,0.000136371,0.05,1.38E-05
0.052,0.000929458,0.052,0.000160723,0.052,1.94E-05
0.054,0.000958023,0.054,0.000199686,0.054,3.95E-05
0.056,0.000979996,0.056,0.000233779,0.056,6.41E-05
0.058,0.00103273,0.058,0.000292224,0.058,8.49E-05
0.06,0.00110524,0.06,0.000350669,0.06,0.000105624
0.062,0.0011426,0.062,0.000384762,0.062,0.000120867
0.064,0.00117995,0.064,0.000428595,0.064,0.000145851
0.066,0.00121071,0.066,0.000462688,0.066,0.000170519
0.068,0.00123928,0.068,0.000506522,0.068,0.000195503
0.07,0.00127004,0.07,0.000540614,0.07,0.000210746
0.072,0.00135134,0.072,0.0006088,0.072,0.000250658
0.074,0.00150295,0.074,0.000706208,0.074,0.000310366
0.076,0.00155349,0.076,0.000740301,0.076,0.000335034
0.078,0.00158425,0.078,0.000774394,0.078,0.000359702
0.08,0.00159085,0.08,0.000813357,0.08,0.000379816
0.082,0.00159304,0.082,0.000842579,0.082,0.000399614
0.084,0.00162161,0.084,0.000901024,0.084,0.000439209
0.086,0.00168972,0.086,0.00096921,0.086,0.00049797
0.088,0.00173147,0.088,0.00101304,0.088,0.000532378
0.09,0.00177102,0.09,0.00106175,0.09,0.000581082
0.092,0.00180179,0.092,0.00111532,0.092,0.000625232
0.094,0.00182815,0.094,0.00115916,0.094,0.000669066
0.096,0.00185672,0.096,0.00119812,0.096,0.000708029
0.098,0.00193143,0.098,0.00127604,0.098,0.000785955
0.1,0.00207205,0.1,0.00140755,0.1,0.000917456
0.102,0.0021138,0.102,0.00146112,0.102,0.00097103
0.104,0.00214017,0.104,0.00150982,0.104,0.00101973
0.106,0.00214456,0.106,0.00155366,0.106,0.00106357
0.108,0.00214676,0.108,0.00159749,0.108,0.0011074
0.11,0.00217533,0.11,0.00166568,0.11,0.00117559
0.112,0.00224125,0.112,0.0017436,0.112,0.00125351
0.114,0.00228299,0.114,0.00178257,0.114,0.00129248
0.116,0.00231815,0.116,0.00182153,0.116,0.00133144
0.118,0.00234232,0.118,0.00186536,0.118,0.00137527
0.12,0.00236649,0.12,0.00189946,0.12,0.00140937
0.122,0.00239506,0.122,0.00194329,0.122,0.0014532
